model,ticker,pred_date,run,current_price,window_days,target_date,actual_date,actual_price,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high
claude,AAPL,2026-03-23,1,251.72999572753906,1,2026-03-24,2026-03-24,252.52999877929688,251.98,249.47,254.49,247.21,256.75,245.64,258.32
claude,AAPL,2026-03-23,2,251.72999572753906,1,2026-03-24,2026-03-24,252.52999877929688,252.15,249.85,254.45,247.2,257.1,245.35,258.95
claude,AAPL,2026-03-23,3,251.72999572753906,1,2026-03-24,2026-03-24,252.52999877929688,252.15,249.85,254.45,247.2,257.1,245.5,258.8
claude,AAPL,2026-03-23,4,251.72999572753906,1,2026-03-24,2026-03-24,252.52999877929688,251.98,249.24,254.72,247.18,256.78,245.64,258.32
claude,AAPL,2026-03-23,5,251.72999572753906,1,2026-03-24,2026-03-24,252.52999877929688,252.15,249.85,254.45,247.2,257.1,245.5,258.8
claude,AMZN,2026-03-23,1,211.25999450683594,1,2026-03-24,2026-03-24,207.72509765625,211.84,209.12,214.56,206.78,216.9,205.11,218.57
claude,AMZN,2026-03-23,2,211.25999450683594,1,2026-03-24,2026-03-24,207.72509765625,211.47,209.63,213.31,207.89,215.05,206.52,216.42
claude,AMZN,2026-03-23,3,211.25999450683594,1,2026-03-24,2026-03-24,207.72509765625,211.47,209.85,213.09,208.12,214.82,207.01,215.93
claude,AMZN,2026-03-23,4,211.25999450683594,1,2026-03-24,2026-03-24,207.72509765625,211.26,208.5,214.02,206.2,216.32,204.65,217.87
claude,AMZN,2026-03-23,5,211.25999450683594,1,2026-03-24,2026-03-24,207.72509765625,211.26,208.5,214.02,206.25,216.27,204.75,217.77
claude,AVGO,2026-03-23,1,321.92999267578125,1,2026-03-24,2026-03-24,315.6340026855469,322.45,318.75,326.15,315.2,329.7,312.85,332.05
claude,AVGO,2026-03-23,2,321.92999267578125,1,2026-03-24,2026-03-24,315.6340026855469,322.45,318.75,326.15,315.2,329.7,312.85,332.05
claude,AVGO,2026-03-23,3,321.92999267578125,1,2026-03-24,2026-03-24,315.6340026855469,322.45,318.75,326.15,315.8,329.1,313.5,331.4
claude,AVGO,2026-03-23,4,321.92999267578125,1,2026-03-24,2026-03-24,315.6340026855469,322.45,318.75,326.15,315.2,329.7,312.85,332.05
claude,AVGO,2026-03-23,5,321.92999267578125,1,2026-03-24,2026-03-24,315.6340026855469,322.45,318.75,326.15,315.2,329.7,312.85,332.05
claude,BRK-B,2026-03-23,1,481.19000244140625,1,2026-03-24,2026-03-24,482.54010009765625,481.19,478.75,483.63,476.31,486.07,474.59,487.79
claude,BRK-B,2026-03-23,2,481.19000244140625,1,2026-03-24,2026-03-24,482.54010009765625,481.19,477.78,484.6,474.37,488.01,472.16,490.22
claude,BRK-B,2026-03-23,3,481.19000244140625,1,2026-03-24,2026-03-24,482.54010009765625,481.19,478.85,483.53,476.51,485.87,474.17,488.21
claude,BRK-B,2026-03-23,4,481.19000244140625,1,2026-03-24,2026-03-24,482.54010009765625,481.19,478.75,483.63,476.31,486.07,474.59,487.79
claude,BRK-B,2026-03-23,5,481.19000244140625,1,2026-03-24,2026-03-24,482.54010009765625,481.19,478.27,484.11,475.95,486.43,474.34,488.04
claude,COST,2026-03-23,1,971.155029296875,1,2026-03-24,2026-03-24,974.7899780273438,971.16,963.45,978.87,955.74,986.58,950.63,991.69
claude,COST,2026-03-23,2,971.155029296875,1,2026-03-24,2026-03-24,974.7899780273438,971.5,967.25,975.75,962.5,980.5,958.75,984.25
claude,COST,2026-03-23,3,971.155029296875,1,2026-03-24,2026-03-24,974.7899780273438,971.16,965.45,976.87,957.92,984.4,952.71,989.61
claude,COST,2026-03-23,4,971.155029296875,1,2026-03-24,2026-03-24,974.7899780273438,971.16,965.45,976.87,957.92,984.4,952.31,990.01
claude,COST,2026-03-23,5,971.155029296875,1,2026-03-24,2026-03-24,974.7899780273438,971.16,965.42,976.9,957.53,984.79,951.58,990.74
claude,GOOGL,2026-03-23,1,302.17999267578125,1,2026-03-24,2026-03-24,295.38018798828125,302.18,299.15,305.21,296.61,307.75,294.58,309.78
claude,GOOGL,2026-03-23,2,302.17999267578125,1,2026-03-24,2026-03-24,295.38018798828125,302.18,299.15,305.21,296.12,308.24,294.1,310.26
claude,GOOGL,2026-03-23,3,302.17999267578125,1,2026-03-24,2026-03-24,295.38018798828125,302.18,299.15,305.21,296.61,307.75,294.58,309.78
claude,GOOGL,2026-03-23,4,302.17999267578125,1,2026-03-24,2026-03-24,295.38018798828125,302.18,298.5,305.86,295.12,309.24,292.51,311.85
claude,GOOGL,2026-03-23,5,302.17999267578125,1,2026-03-24,2026-03-24,295.38018798828125,302.18,298.45,305.91,295.72,308.64,293.58,310.78
claude,JNJ,2026-03-23,1,235.77000427246094,1,2026-03-24,2026-03-24,235.1300048828125,235.85,234.2,237.5,232.8,238.9,231.6,240.1
claude,JNJ,2026-03-23,2,235.77000427246094,1,2026-03-24,2026-03-24,235.1300048828125,235.85,234.5,237.2,233.0,238.8,231.8,240.2
claude,JNJ,2026-03-23,3,235.77000427246094,1,2026-03-24,2026-03-24,235.1300048828125,235.89,234.12,237.66,232.85,238.93,231.94,239.84
claude,JNJ,2026-03-23,4,235.77000427246094,1,2026-03-24,2026-03-24,235.1300048828125,235.89,234.12,237.66,232.85,238.93,231.94,239.84
claude,JNJ,2026-03-23,5,235.77000427246094,1,2026-03-24,2026-03-24,235.1300048828125,235.89,234.32,237.46,233.15,238.63,232.28,239.5
claude,JPM,2026-03-23,1,292.0799865722656,1,2026-03-24,2026-03-24,289.239990234375,292.5,290.75,294.25,289.5,295.5,288.25,296.75
