model,ticker,pred_date,run,current_price,window_days,target_date,actual_date,actual_price,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,hit_50,hit_80,hit_90,brier_score
claude,AAPL,2026-02-18,1,264.3500061035156,1,2026-02-19,2026-02-19,260.5799865722656,264.85,262.5,267.2,260.8,268.9,259.5,270.2,0.0,0.0,1.0,0.0002685198319636327
claude,AAPL,2026-02-18,2,264.3500061035156,1,2026-02-19,2026-02-19,260.5799865722656,264.35,261.5,267.2,258.8,269.9,256.7,272.0,0.0,1.0,1.0,0.00020931660367339407
claude,AAPL,2026-02-18,3,264.3500061035156,1,2026-02-19,2026-02-19,260.5799865722656,264.85,262.5,267.2,260.8,268.9,259.5,270.2,0.0,0.0,1.0,0.0002685198319636327
claude,AAPL,2026-02-18,4,264.3500061035156,1,2026-02-19,2026-02-19,260.5799865722656,264.85,262.5,267.2,260.8,268.9,259.5,270.2,0.0,0.0,1.0,0.0002685198319636327
claude,AAPL,2026-02-18,5,264.3500061035156,1,2026-02-19,2026-02-19,260.5799865722656,264.85,262.5,267.2,260.15,269.55,258.3,271.4,0.0,1.0,1.0,0.0002685198319636327
claude,AAPL,2026-02-19,1,260.5799865722656,1,2026-02-20,2026-02-20,264.5799865722656,260.85,258.12,263.58,255.89,265.81,254.23,267.47,0.0,1.0,1.0,0.0001987469884245928
claude,AAPL,2026-02-19,2,260.5799865722656,1,2026-02-20,2026-02-20,264.5799865722656,260.85,258.5,263.2,256.8,264.9,255.5,266.2,0.0,1.0,1.0,0.0001987469884245928
claude,AAPL,2026-02-19,3,260.5799865722656,1,2026-02-20,2026-02-20,264.5799865722656,261.12,258.85,263.39,256.23,265.93,254.55,267.69,0.0,1.0,1.0,0.00017101525273851992
claude,AAPL,2026-02-19,4,260.5799865722656,1,2026-02-20,2026-02-20,264.5799865722656,260.85,258.5,263.2,256.8,264.9,255.5,266.2,0.0,1.0,1.0,0.0001987469884245928
claude,AAPL,2026-02-19,5,260.5799865722656,1,2026-02-20,2026-02-20,264.5799865722656,260.85,258.12,263.58,255.89,265.81,254.23,267.47,0.0,1.0,1.0,0.0001987469884245928
claude,AAPL,2026-02-19,1,260.5799865722656,20,2026-03-11,2026-03-11,260.8099975585937,263.5,251.2,275.8,242.15,284.85,236.45,290.55,1.0,1.0,1.0,0.00010637923874947598
claude,AAPL,2026-02-19,2,260.5799865722656,20,2026-03-11,2026-03-11,260.8099975585937,262.15,255.8,268.5,248.25,276.05,242.7,281.6,1.0,1.0,1.0,2.6397494563392994e-05
claude,AAPL,2026-02-19,3,260.5799865722656,20,2026-03-11,2026-03-11,260.8099975585937,264.15,256.2,272.1,248.85,279.45,243.5,284.8,1.0,1.0,1.0,0.00016400047215783489
claude,AAPL,2026-02-19,4,260.5799865722656,20,2026-03-11,2026-03-11,260.8099975585937,263.45,255.2,271.7,248.85,278.05,244.5,282.4,1.0,1.0,1.0,0.00010246137669145969
claude,AAPL,2026-02-19,5,260.5799865722656,20,2026-03-11,2026-03-11,260.8099975585937,264.12,256.45,271.79,249.82,278.42,245.21,283.03,1.0,1.0,1.0,0.0001610675890867541
claude,AAPL,2026-02-20,1,264.5799865722656,20,2026-03-12,2026-03-12,255.75999450683597,268.5,258.2,278.8,248.9,288.1,242.6,294.4,0.0,1.0,1.0,0.002481269873944769
