model,domain,question_id,pred_date,target_date,actual_date,unit,current_value,actual_value,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,hit_50,hit_80,hit_90,brier_score
claude,commodities,commodities_CLF,2026-03-25,2026-03-26,2026-03-26,USD/bbl,90.76000213623048,94.87999725341795,90.85,89.85,91.85,88.9,92.8,87.95,93.75,0.0,0.0,0.0,0.0019716076992790546
claude,commodities,commodities_CLF,2026-03-26,2026-03-27,,USD/bbl,94.6999969482422,,94.55,93.5,95.6,92.2,97.0,91.0,98.2,,,,
claude,commodities,commodities_GCF,2026-03-25,2026-03-26,2026-03-26,USD/oz,4535.5,4392.7001953125,4541.0,4510.0,4572.0,4480.0,4605.0,4455.0,4630.0,0.0,0.0,0.0,0.001069130737175873
claude,commodities,commodities_GCF,2026-03-26,2026-03-27,,USD/oz,4382.5,,4390.0,4355.0,4425.0,4320.0,4460.0,4290.0,4490.0,,,,
claude,commodities,commodities_HGF,2026-03-25,2026-03-26,2026-03-26,USD/lb,5.541999816894531,5.487500190734863,5.54,5.5,5.58,5.46,5.62,5.43,5.65,0.0,1.0,1.0,8.973925029199369e-05
claude,commodities,commodities_HGF,2026-03-26,2026-03-27,,USD/lb,5.484000205993652,,5.48,5.44,5.52,5.4,5.56,5.37,5.59,,,,
claude,commodities,commodities_NGF,2026-03-25,2026-03-26,2026-03-26,USD/MMBtu,2.927999973297119,2.9579999446868896,2.94,2.88,3.0,2.82,3.06,2.77,3.11,1.0,1.0,1.0,3.779202856729852e-05
claude,commodities,commodities_NGF,2026-03-26,2026-03-27,,USD/MMBtu,2.961999893188477,,2.97,2.91,3.03,2.85,3.09,2.8,3.14,,,,
claude,commodities,commodities_SIF,2026-03-25,2026-03-26,2026-03-26,USD/oz,72.1500015258789,68.08000183105469,72.15,71.43,72.87,70.71,73.59,70.0,74.3,0.0,0.0,0.0,0.0031821140304673654
claude,commodities,commodities_SIF,2026-03-26,2026-03-27,,USD/oz,67.84500122070312,,67.95,67.17,68.73,66.51,69.39,65.97,69.93,,,,
