model,domain,n,hit_rate_50,ece_50,hit_rate_80,ece_80,hit_rate_90,ece_90,mean_brier,mean_ece
claude,commodities,10,0.2,0.3,0.4,0.4,0.4,0.5,0.00127,0.4
gemini,commodities,10,0.2,0.3,0.4,0.4,0.4,0.5,0.001168,0.4
gpt4,commodities,10,0.2,0.3,0.4,0.4,0.4,0.5,0.001129,0.4
claude,crypto,20,0.8,0.3,1.0,0.2,1.0,0.1,0.00113,0.2
gemini,crypto,20,0.2,0.3,0.8,0.0,1.0,0.1,0.000795,0.1333
gpt4,crypto,20,0.2,0.3,1.0,0.2,1.0,0.1,0.00174,0.2
claude,forex,16,0.375,0.125,0.75,0.05,0.75,0.15,1.8e-05,0.1083
gemini,forex,16,0.5,0.0,0.625,0.175,0.75,0.15,1.8e-05,0.1083
gpt4,forex,16,0.25,0.25,0.25,0.55,0.375,0.525,1.6e-05,0.4417
claude,nba,13,,,,,,,,
gemini,nba,13,,,,,,,,
gpt4,nba,13,,,,,,,,
claude,stocks,40,0.5,0.0,0.85,0.05,0.9,0.0,0.000679,0.0167
gemini,stocks,40,0.25,0.25,0.7,0.1,0.75,0.15,0.000526,0.1667
gpt4,stocks,40,0.15,0.35,0.55,0.25,0.65,0.25,0.000645,0.2833
claude,weather,60,0.7333,0.2333,0.8667,0.0667,0.9,0.0,0.002105,0.1
gemini,weather,60,0.6667,0.1667,0.8333,0.0333,0.8667,0.0333,0.002095,0.0778
gpt4,weather,60,0.4667,0.0333,0.7667,0.0333,0.8,0.1,0.002095,0.0555
