model,domain,horizon,n,hit_rate_50,ece_50,hit_rate_80,ece_80,hit_rate_90,ece_90,mean_brier,mean_ece
claude,crypto,1d,10,1.0,0.5,1.0,0.2,1.0,0.1,2.9e-05,0.2667
gemini,crypto,1d,9,1.0,0.5,1.0,0.2,1.0,0.1,3.4e-05,0.2667
gpt4o,crypto,1d,9,1.0,0.5,1.0,0.2,1.0,0.1,2.4e-05,0.2667
claude,forex,1d,10,0.6,0.1,1.0,0.2,1.0,0.1,1e-05,0.1333
gemini,forex,1d,10,0.8,0.3,1.0,0.2,1.0,0.1,1e-05,0.2
gpt4o,forex,1d,10,0.2,0.3,0.4,0.4,0.7,0.2,1e-05,0.3
claude,stocks,1d,10,0.7,0.2,1.0,0.2,1.0,0.1,0.000223,0.1667
gemini,stocks,1d,10,0.8,0.3,1.0,0.2,1.0,0.1,0.000128,0.2
gpt4o,stocks,1d,10,0.5,0.0,0.6,0.2,0.8,0.1,0.000118,0.1
claude,weather,1d,10,0.4,0.1,0.7,0.1,0.8,0.1,0.012231,0.1
gemini,weather,1d,10,0.3,0.2,0.6,0.2,0.6,0.3,0.01204,0.2333
gpt4o,weather,1d,10,0.0,0.5,0.1,0.7,0.3,0.6,0.014293,0.6
