game_pk,game_date,away_team,home_team,venue,status,total_runs,total_strikeouts,total_home_runs,duration_min,attendance,note,error
822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,pending,,,,,,Scheduled,
822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822802,2026-06-13,New York Yankees,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822803,2026-06-12,New York Yankees,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822804,2026-06-10,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822805,2026-06-09,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822806,2026-06-08,Philadelphia Phillies,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822807,2026-06-07,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822808,2026-06-06,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822810,2026-06-05,Baltimore Orioles,Toronto Blue Jays,Rogers Centre,pending,,,,,,Scheduled,
822887,2026-06-15,Minnesota Twins,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822888,2026-06-16,Minnesota Twins,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822889,2026-06-18,Minnesota Twins,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822890,2026-06-07,Cleveland Guardians,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822891,2026-06-06,Cleveland Guardians,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822892,2026-06-05,Cleveland Guardians,Texas Rangers,Globe Life Field,pending,,,,,,Scheduled,
822969,2026-06-09,Boston Red Sox,Tampa Bay Rays,Tropicana Field,pending,,,,,,Scheduled,
822970,2026-06-10,Boston Red Sox,Tampa Bay Rays,Tropicana Field,pending,,,,,,Scheduled,
822972,2026-06-08,Boston Red Sox,Tampa Bay Rays,Tropicana Field,pending,,,,,,Scheduled,
823044,2026-06-17,San Diego Padres,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823045,2026-06-16,San Diego Padres,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823046,2026-06-15,San Diego Padres,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823047,2026-06-07,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823048,2026-06-06,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823049,2026-06-05,Cincinnati Reds,St. Louis Cardinals,Busch Stadium,pending,,,,,,Scheduled,
823125,2026-06-18,Baltimore Orioles,Seattle Mariners,T-Mobile Park,pending,,,,,,Scheduled,
823127,2026-06-17,Baltimore Orioles,Seattle Mariners,T-Mobile Park,pending,,,,,,Scheduled,
823128,2026-06-16,Baltimore Orioles,Seattle Mariners,T-Mobile Park,pending,,,,,,Scheduled,
823211,2026-06-12,Chicago Cubs,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823212,2026-06-14,Chicago Cubs,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823213,2026-06-13,Chicago Cubs,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823214,2026-06-09,Washington Nationals,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823215,2026-06-10,Washington Nationals,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823218,2026-06-08,Washington Nationals,San Francisco Giants,Oracle Park,pending,,,,,,Scheduled,
823287,2026-06-10,Cincinnati Reds,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823289,2026-06-08,Cincinnati Reds,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823290,2026-06-09,Cincinnati Reds,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823291,2026-06-07,New York Mets,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823292,2026-06-06,New York Mets,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823293,2026-06-05,New York Mets,San Diego Padres,Petco Park,pending,,,,,,Scheduled,
823368,2026-06-14,Miami Marlins,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823369,2026-06-13,Miami Marlins,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823370,2026-06-12,Miami Marlins,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823371,2026-06-11,Los Angeles Dodgers,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823372,2026-06-10,Los Angeles Dodgers,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823374,2026-06-09,Los Angeles Dodgers,Pittsburgh Pirates,PNC Park,pending,,,,,,Scheduled,
823448,2026-06-18,New York Mets,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823450,2026-06-17,Miami Marlins,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823451,2026-06-16,Miami Marlins,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823452,2026-06-15,Miami Marlins,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823453,2026-06-07,Chicago White Sox,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823454,2026-06-06,Chicago White Sox,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823455,2026-06-05,Chicago White Sox,Philadelphia Phillies,Citizens Bank Park,pending,,,,,,Scheduled,
823533,2026-06-18,Chicago White Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823535,2026-06-16,Chicago White Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823536,2026-06-17,Chicago White Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823537,2026-06-07,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823538,2026-06-05,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823539,2026-06-06,Boston Red Sox,New York Yankees,Yankee Stadium,pending,,,,,,Scheduled,
823615,2026-06-14,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823616,2026-06-13,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823617,2026-06-12,Atlanta Braves,New York Mets,Citi Field,pending,,,,,,Scheduled,
823618,2026-06-10,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823619,2026-06-11,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823620,2026-06-09,St. Louis Cardinals,New York Mets,Citi Field,pending,,,,,,Scheduled,
823693,2026-06-14,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823694,2026-06-13,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823695,2026-06-12,St. Louis Cardinals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823696,2026-06-07,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823697,2026-06-06,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823699,2026-06-05,Kansas City Royals,Minnesota Twins,Target Field,pending,,,,,,Scheduled,
823772,2026-06-18,Cleveland Guardians,Milwaukee Brewers,American Family Field,pending,,,,,,Scheduled,
