model,model_id,game_pk,game_date,away_team,home_team,venue,quantity,point_estimate,ci_90_low,ci_90_high,ci_width,actual,hit_90,abs_dev,norm_abs_dev,expected_abs_dev,norm_expected_abs_dev
claude,claude-sonnet-4-6,822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,total_runs,9.0,3.0,17.0,14.0,8.0,1.0,1.0,0.125,3.395253450224959,0.42440668127811987
claude,claude-sonnet-4-6,822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,total_strikeouts,16.0,8.0,26.0,18.0,9.0,1.0,7.0,0.7777777777777778,4.365325864574947,0.4850362071749941
claude,claude-sonnet-4-6,822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,4.0,1.0,2.0,0.5,1.2125905179374854,0.30314762948437135
claude,claude-sonnet-4-6,822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,duration_min,185.0,150.0,230.0,80.0,169.0,1.0,16.0,0.09467455621301775,19.401448286999766,0.11480146915384477
claude,claude-sonnet-4-6,822721,2026-06-17,Kansas City Royals,Washington Nationals,Nationals Park,attendance,22000.0,12000.0,35000.0,23000.0,17643.0,1.0,4357.0,0.24695346596383835,5577.916382512433,0.31615464391047066
claude,claude-sonnet-4-6,822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,total_runs,8.0,3.0,15.0,12.0,11.0,1.0,3.0,0.2727272727272727,2.910217243049965,0.2645652039136332
claude,claude-sonnet-4-6,822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,total_strikeouts,16.0,9.0,25.0,16.0,13.0,1.0,3.0,0.23076923076923078,3.880289657399953,0.2984838197999964
claude,claude-sonnet-4-6,822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,duration_min,185.0,145.0,230.0,85.0,134.0,0.0,51.0,0.3805970149253731,20.614038804937252,0.15383611048460635
claude,claude-sonnet-4-6,822722,2026-06-14,Seattle Mariners,Washington Nationals,Nationals Park,attendance,22000.0,12000.0,35000.0,23000.0,27264.0,1.0,5264.0,0.19307511737089203,5577.916382512433,0.20458906919426473
claude,claude-sonnet-4-6,822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,total_runs,8.5,3.0,17.0,14.0,10.0,1.0,1.5,0.15,3.395253450224959,0.3395253450224959
claude,claude-sonnet-4-6,822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,total_strikeouts,17.0,9.0,27.0,18.0,12.0,1.0,5.0,0.4166666666666667,4.365325864574947,0.3637771553812456
claude,claude-sonnet-4-6,822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,duration_min,185.0,150.0,230.0,80.0,163.0,1.0,22.0,0.13496932515337423,19.401448286999766,0.11902729010429304
claude,claude-sonnet-4-6,822723,2026-06-16,Kansas City Royals,Washington Nationals,Nationals Park,attendance,22000.0,12000.0,35000.0,23000.0,25053.0,1.0,3053.0,0.12186165329501457,5577.916382512433,0.22264464864536915
claude,claude-sonnet-4-6,822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,total_runs,9.0,3.0,17.0,14.0,10.0,1.0,1.0,0.1,3.395253450224959,0.3395253450224959
claude,claude-sonnet-4-6,822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,total_strikeouts,17.0,9.0,27.0,18.0,13.0,1.0,4.0,0.3076923076923077,4.365325864574947,0.33579429727499593
claude,claude-sonnet-4-6,822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,1.2125905179374854,1.2125905179374854
claude,claude-sonnet-4-6,822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,duration_min,185.0,150.0,230.0,80.0,150.0,1.0,35.0,0.23333333333333334,19.401448286999766,0.12934298857999843
claude,claude-sonnet-4-6,822724,2026-06-15,Kansas City Royals,Washington Nationals,Nationals Park,attendance,22000.0,12000.0,34000.0,22000.0,14444.0,1.0,7556.0,0.5231237884242592,5335.398278924936,0.36938509269765546
claude,claude-sonnet-4-6,822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,total_runs,8.0,3.0,15.0,12.0,11.0,1.0,3.0,0.2727272727272727,2.910217243049965,0.2645652039136332
claude,claude-sonnet-4-6,822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,total_strikeouts,16.0,9.0,25.0,16.0,15.0,1.0,1.0,0.06666666666666667,3.880289657399953,0.25868597715999686
claude,claude-sonnet-4-6,822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,1.2125905179374854,0.6062952589687427
claude,claude-sonnet-4-6,822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,duration_min,185.0,150.0,230.0,80.0,175.0,1.0,10.0,0.05714285714285714,19.401448286999766,0.1108654187828558
claude,claude-sonnet-4-6,822725,2026-06-13,Seattle Mariners,Washington Nationals,Nationals Park,attendance,22000.0,14000.0,32000.0,18000.0,30004.0,1.0,8004.0,0.26676443140914546,4365.325864574947,0.14549146329072615
claude,claude-sonnet-4-6,822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,total_runs,8.0,3.0,15.0,12.0,12.0,1.0,4.0,0.3333333333333333,2.910217243049965,0.24251810358749706
claude,claude-sonnet-4-6,822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,total_strikeouts,17.0,10.0,26.0,16.0,12.0,1.0,5.0,0.4166666666666667,3.880289657399953,0.3233574714499961
claude,claude-sonnet-4-6,822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,total_home_runs,2.0,0.0,5.0,5.0,5.0,1.0,3.0,0.6,1.2125905179374854,0.2425181035874971
claude,claude-sonnet-4-6,822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,duration_min,185.0,150.0,230.0,80.0,150.0,1.0,35.0,0.23333333333333334,19.401448286999766,0.12934298857999843
claude,claude-sonnet-4-6,822726,2026-06-12,Seattle Mariners,Washington Nationals,Nationals Park,attendance,22000.0,12000.0,35000.0,23000.0,22226.0,1.0,226.0,0.010168271393863042,5577.916382512433,0.25096357340558056
claude,claude-sonnet-4-6,822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,total_runs,9.0,3.0,17.0,14.0,11.0,1.0,2.0,0.18181818181818182,3.395253450224959,0.30865940456590535
claude,claude-sonnet-4-6,822801,2026-06-14,New York Yankees,Toronto Blue Jays,Rogers Centre,total_strikeouts,16.0,9.0,25.0,16.0,14.0,1.0,2.0,0.14285714285714285,3.880289657399953,0.2771635469571395
