model,quantity,n,hit_rate_90,ece_90,accuracy,mu,ci_width_mean
claude,attendance,180,0.8944,0.0056,0.1855,0.9104,17952.83
claude,duration_min,180,0.8056,0.0944,0.1681,0.7481,84.47
claude,total_home_runs,180,0.9278,0.0278,183333333.748,0.6394,5.16
claude,total_runs,180,0.9222,0.0222,0.4864,0.928,13.34
claude,total_strikeouts,180,0.9722,0.0722,0.2134,1.2158,16.63
gemini,attendance,180,0.6056,0.2944,0.1726,0.4746,8760.31
gemini,duration_min,180,0.7167,0.1833,0.097,0.6539,42.53
gemini,total_home_runs,180,0.8944,0.0056,216666667.118,0.4788,4.47
gemini,total_runs,180,0.75,0.15,0.5105,0.569,8.51
gemini,total_strikeouts,180,0.7944,0.1056,0.2296,0.6735,9.91
gpt4o,attendance,180,0.6222,0.2778,0.2221,0.4695,11236.11
gpt4o,duration_min,180,0.7944,0.1056,0.1222,0.7138,58.58
gpt4o,total_home_runs,180,0.8444,0.0556,249444444.9775,0.4159,4.43
gpt4o,total_runs,180,0.7444,0.1556,0.5037,0.5564,8.16
gpt4o,total_strikeouts,180,0.7889,0.1111,0.2126,0.6731,9.24
